trading_point,open,close,high,low,volume
2017-01-03 08:45,9266,9268,9268,9265,1136
2017-01-03 08:46,9268,9267,9280,9265,3344
2017-01-03 08:47,9267,9264,9269,9261,1684
2017-01-03 08:48,9265,9262,9265,9259,1390
2017-01-03 08:49,9262,9260,9262,9260,460
2017-01-03 08:50,9260,9256,9261,9254,1578
2017-01-03 08:51,9255,9252,9256,9252,1170
2017-01-03 08:52,9253,9255,9255,9250,1402
2017-01-03 08:53,9255,9256,9259,9255,1168
2017-01-03 08:54,9257,9255,9257,9253,386
2017-01-03 08:55,9254,9255,9259,9253,656
2017-01-03 08:56,9255,9253,9256,9251,512
2017-01-03 08:57,9252,9255,9255,9249,1138
2017-01-03 08:58,9254,9258,9258,9254,1126
2017-01-03 08:59,9257,9255,9258,9253,548
2017-01-03 09:00,9255,9247,9255,9247,1614
2017-01-03 09:01,9247,9250,9252,9243,2950
2017-01-03 09:02,9249,9255,9258,9248,2200
2017-01-03 09:03,9254,9244,9257,9244,1628
2017-01-03 09:04,9244,9237,9245,9235,3794
2017-01-03 09:05,9237,9237,9241,9235,1798
2017-01-03 09:06,9237,9240,9242,9237,912
2017-01-03 09:07,9241,9241,9244,9239,796
2017-01-03 09:08,9241,9238,9242,9235,1670
2017-01-03 09:09,9239,9243,9248,9238,1514
2017-01-03 09:10,9243,9242,9244,9240,688
2017-01-03 09:11,9242,9253,9253,9237,2544
2017-01-03 09:12,9253,9252,9255,9248,1462
2017-01-03 09:13,9252,9249,9253,9247,732
2017-01-03 09:14,9249,9245,9250,9241,1054
2017-01-03 09:15,9245,9243,9247,9242,892
2017-01-03 09:16,9243,9251,9252,9243,994
2017-01-03 09:17,9251,9249,9253,9246,978
2017-01-03 09:18,9250,9250,9252,9249,640
2017-01-03 09:19,9250,9250,9251,9249,320
2017-01-03 09:20,9249,9251,9252,9248,496
2017-01-03 09:21,9252,9252,9252,9250,384
2017-01-03 09:22,9252,9252,9254,9250,1082
